,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index_0,Index_1,Index_2
54,1,121,3670000000.0,1,911220.0,0.469,0.203,3.6,2,2014.0,4,0,1,0,0,1,0
55,0,17,618240000.0,0,42660.0,-2.0740000000000003,-0.348,2.0,6,1996.0,4,0,1,0,0,1,0
56,1,47,34520000000.0,1,2610000.0,0.24800000000000003,-0.0129,4.0,1,1902.0,3,1,1,1,0,0,1
57,1,17,224170000.0,1,6960000.0,0.01,0.456,2.8,3,1996.0,4,0,0,0,0,1,0
58,1,38,156460000.0,0,8119999.999999999,-0.233,0.13,1.0,6,1996.0,2,0,0,0,0,1,0
59,1,38,247210000.0,0,352060.0,0.466,0.728,3.7,6,2000.0,6,0,1,0,0,1,0
60,0,11,3730000000.0,0,813880.0,-0.11199999999999999,0.5412,3.5,1,2016.0,4,0,1,0,0,0,1
61,1,128,82250000000.0,0,1800000.0,0.085,0.0974,4.0,1,1949.0,3,1,1,1,0,1,0
62,1,17,5420000000.0,0,926160.0,-1.006,-0.031000000000000003,3.7,5,2009.0,4,0,0,0,0,1,0
63,1,33,5110000000.0,0,829160.0,-0.41200000000000003,-0.051100000000000007,3.3,1,1996.0,7,0,1,0,0,0,1
64,1,121,61160000000.0,1,1150000.0,4.401000000000001,0.4154,4.2,1,1982.0,5,1,1,1,0,1,0
65,1,117,8850000000.0,1,3740000.0,-0.435,0.19940000000000002,3.2,1,1874.0,5,0,0,0,0,0,1
66,1,26,951170000.0,1,222160.0,1.044,0.2365,3.7,2,1985.0,10,0,1,0,0,1,0
67,1,77,1300000000.0,0,92190.0,0.146,0.13570000000000002,3.3,1,1972.0,4,0,0,0,0,1,0
68,1,0,3730000000.0,1,432680.0,-3.909,0.1618,3.6,1,1987.0,5,0,1,0,0,1,0
69,1,17,353570000.0,1,2700000.0,-0.37200000000000005,-0.07200000000000001,3.9,6,2016.0,11,1,1,0,0,1,0
70,1,17,64550000.0,0,9800000.0,0.603,0.0,2.2,6,1996.0,1,0,1,0,0,1,0
71,1,86,120600000.0,0,15110.0,8.435,0.13820000000000002,3.0,5,1973.0,0,0,0,0,1,0,0
72,1,140,21000000000.0,1,1360000.0,0.045,0.0717,4.0,4,1904.0,7,1,1,1,0,0,1
73,0,63,8800000000.0,0,1890000.0,-0.995,0.0259,3.6,1,1844.0,3,0,0,0,0,0,1
74,1,118,56530000.0,0,366130.0,0.47600000000000003,0.625,4.4,6,1996.0,2,1,1,0,0,1,0
75,1,40,3930000000.0,0,285250.0,1.3900000000000001,0.1843,3.7,2,1981.0,10,0,1,0,0,1,0
76,1,64,2910000000.0,1,537270.0,1.575,0.7000000000000001,3.4,5,1995.0,5,0,1,0,0,0,1
77,0,54,15500000000.0,1,1260000.0,0.06,0.122,4.0,4,1957.0,0,0,1,0,0,0,1
78,1,7,5390000000.0,1,3910000.0,-2.123,0.0802,3.7,1,1977.0,5,0,1,0,0,0,1
79,1,140,41140000000.0,1,2880000.0,0.11599999999999999,0.0665,3.9,1,1906.0,3,1,1,1,0,1,0
80,0,4,6970000000.0,0,1120000.0,-1.2770000000000001,0.3199,3.0,6,1996.0,5,0,0,0,0,0,1
81,1,38,779270000.0,0,481050.0,0.092,0.413,3.3,0,1996.0,2,0,1,0,0,1,0
82,1,138,16430000000.0,0,5570000.0,-0.858,0.0825,4.4,4,1981.0,3,1,1,1,0,0,1
83,1,121,183350000.0,0,118500.0,0.19899999999999998,1.405,4.0,6,2005.0,2,0,0,0,0,1,0
84,1,17,103180000.0,0,3770000.0,0.639,0.0,2.0,6,1996.0,6,0,1,0,0,1,0
85,1,65,10230000000.0,0,524600.0,-0.167,0.0608,4.0,4,1996.0,7,1,1,0,0,0,1
86,1,20,125440000.0,0,172040.0,-0.015,0.0,3.3,2,2016.0,10,0,1,0,0,0,1
87,1,78,480870000.0,1,302380.0,-1.27,0.226,3.6,6,1996.0,8,1,1,0,0,1,0
88,1,64,35370000000.0,0,3120000.0,0.507,-0.0087,3.8,4,1955.0,3,0,1,1,0,0,1
89,1,61,16930000000.0,0,2780000.0,0.065,0.538,4.4,5,2012.0,4,1,1,0,0,1,0
90,0,39,2500000000.0,0,221330.0,0.376,0.2766,3.5,2,2019.0,4,0,1,0,0,1,0
91,0,120,4070000000.0000005,1,4300000.0,2.5,0.167,3.8,2,2002.0,4,1,1,0,0,0,1
92,1,46,9180000000.0,0,674060.0,3.207,0.1109,3.8,1,1990.0,7,1,1,0,0,0,1
93,1,17,1160000000.0,0,5370000.0,-0.314,-0.049,3.4,3,1996.0,2,0,0,0,0,1,0
94,1,47,112170000.0,0,122360.0,-0.20500000000000002,-0.209,3.4,3,1996.0,4,0,0,0,0,1,0
95,1,124,196220000.0,0,287570.0,-3.44,0.687,1.0,0,1996.0,4,0,1,0,0,1,0
96,0,54,3060000000.0,1,2430000.0,0.538,0.55,3.8,5,1996.0,10,0,1,0,0,0,1
97,1,17,3840000000.0,1,634740.0,0.308,-1.251,3.9,3,2008.0,9,0,0,0,0,1,0
98,1,77,17000000000.0,0,1100000.0,0.44799999999999995,0.0,2.6,3,2016.0,4,0,0,0,0,0,1
99,1,17,312860000.0,0,161230.0,0.381,0.107,3.2,6,2013.0,8,0,0,0,0,1,0
100,1,33,1010000000.0,0,44270.0,-0.048,0.0852,4.7,6,1996.0,4,1,1,0,0,0,1
101,0,67,3370000000.0,0,563920.0,0.044000000000000004,0.1457,4.2,6,2001.0,0,0,1,0,0,0,1
102,1,140,15860000000.0,1,505650.0,-0.129,0.029300000000000003,3.3,4,2015.0,5,0,1,0,0,0,1
103,0,47,1250000000.0,1,1090000.0,1.5330000000000001,-0.13720000000000002,3.9,2,2002.0,10,1,1,0,0,0,1
104,1,53,340580000.0,1,285780.0,-6.221,0.701,4.3,5,1996.0,4,1,1,0,0,0,1
105,1,17,190300000.0,0,1230000.0,0.12,0.19899999999999998,4.4,6,1999.0,11,1,1,0,0,1,0
106,1,56,3160000000.0,0,769700.0,0.363,0.4756,3.3,2,1939.0,10,0,1,0,0,0,1
107,1,121,1260000000.0,0,131300.0,0.314,0.305,3.5,2,1963.0,4,0,0,0,0,1,0
108,1,78,3640000000.0,0,1420000.0,-2.255,0.8542000000000001,2.4,2,1996.0,4,0,0,0,0,1,0
109,1,98,1110000000.0,0,246040.0,-0.065,-0.1481,3.7,6,1979.0,6,0,1,0,0,0,1
110,1,78,15870000.0,0,228920.0,-0.429,0.0,2.0,3,1979.0,6,0,0,0,0,1,0
111,1,100,762480000.0,0,29110000.0,-1.092,0.9940000000000001,3.6,2,1996.0,4,1,1,0,0,0,1
112,1,61,5730000000.0,0,3840000.0,-1.081,0.122,4.5,5,2009.0,4,1,1,0,0,0,1
113,1,63,39860000000.0,1,4040000.0,-2.866,0.1458,3.6,1,1919.0,3,0,1,1,0,0,1
114,1,126,3810000000.0,1,319000.0,-1.2,0.1464,3.3,1,2004.0,0,0,1,0,0,1,0
115,1,131,2800000000.0,0,105250.0,-0.256,0.1525,4.3,2,1895.0,10,1,1,0,0,0,1
116,1,8,59050000.0,0,38790.0,-7.6579999999999995,0.9621,3.6,2,1996.0,4,1,1,0,1,0,0
117,1,8,868460000.0,1,350070.0,1.993,-0.0152,3.3,2,1990.0,0,0,1,0,0,1,0
118,1,1,1350000000.0,0,309120.0,-0.687,0.7206,3.4,2,1951.0,0,0,1,0,0,0,1
119,1,104,7370000000.0,0,715340.0,-3.216,-0.4489,5.0,5,2020.0,0,1,1,0,0,0,1
120,1,26,223130000.0,0,86230.0,-4.681,1.574,4.0,6,1996.0,6,1,1,0,0,1,0
121,1,1,38430000.0,1,569230.0,1.401,1.0,1.7,3,1968.0,9,0,0,0,1,0,0
122,1,69,64620000.00000001,0,9320.0,-1.191,0.0,4.1,5,1980.0,4,1,1,0,0,1,0
123,1,60,3290000000.0,1,153290.0,-0.8370000000000001,0.13240000000000002,3.3,4,1923.0,5,0,0,0,0,0,1
124,1,104,1080000000.0,1,3240000.0,-1.011,1.6500000000000001,3.7,5,1997.0,4,0,1,0,0,0,1
125,1,67,9090000000.0,1,356800.0,0.147,0.1779,3.6,1,1978.0,7,0,1,1,0,0,1
126,1,68,28130000000.0,1,1140000.0,0.19399999999999998,0.058499999999999996,3.6,1,1927.0,5,0,1,1,0,0,1
127,1,1,3850000000.0,0,656430.0,-0.02,0.1109,3.7,2,1942.0,4,0,0,0,0,0,1
128,1,122,18780000000.0,1,1430000.0,0.161,0.0966,4.4,4,1998.0,5,1,1,1,0,1,0
129,1,17,592410000.0,1,3590000.0,-0.172,0.375,4.3,3,2007.0,4,1,1,0,0,1,0
130,0,15,2120000000.0,0,29870.0,-0.298,0.1008,3.9,1,1946.0,5,1,1,0,0,0,1
131,1,105,1830000000.0,1,637830.0,-1.167,4.0,3.5,6,1998.0,4,0,0,0,0,0,1
132,1,26,520770000.0,1,582580.0,-0.009000000000000001,0.307,3.5,0,1996.0,4,0,1,0,0,1,0
133,1,17,467280000.0,0,159940.0,-2.494,-0.071,4.5,0,1996.0,4,1,1,0,0,1,0
134,1,112,4780000000.0,0,729730.0,-0.136,0.3716,1.6,6,1996.0,0,0,1,0,0,0,1
135,1,125,18180000000.0,1,987270.0,-0.299,0.4106,3.8,4,1994.0,5,0,1,1,0,0,1
136,0,80,35100000000.0,0,790890.0,0.856,0.192,3.9,1,1945.0,7,1,1,0,0,0,1
137,1,47,255190000.0,0,34670.0,-0.375,3.0465,3.1,3,1996.0,4,0,1,0,0,1,0
138,1,138,3450000000.0,1,262350.0,-0.065,0.21489999999999998,4.5,2,1906.0,0,1,1,0,0,0,1
139,1,17,1680000000.0,1,665070.0,-0.433,0.08900000000000001,4.5,6,2013.0,4,1,1,0,0,1,0
140,1,98,1350000000.0,1,329510.0,1.179,0.44439999999999996,3.6,5,1870.0,4,0,1,0,0,0,1
141,1,46,1700000000.0,1,33120.0,-0.10300000000000001,0.20620000000000002,3.4,2,1969.0,0,0,0,0,0,0,1
142,1,119,5020000000.0,1,681740.0,-0.564,0.26530000000000004,3.6,2,1990.0,10,0,0,0,0,1,0
143,1,78,47660000000.0,1,562560.0,3.055,0.21730000000000002,4.4,1,1997.0,0,1,1,1,0,1,0
144,1,3,3390000000.0,1,187880.0,-1.808,3.1652,4.3,2,1997.0,0,1,1,0,0,1,0
145,1,57,5030000000.0,1,503340.0,0.48700000000000004,0.289,3.4,5,2013.0,4,0,1,0,0,1,0
146,1,38,66220000.0,0,43050.0,0.523,-2.737,4.0,6,2003.0,1,0,1,0,0,1,0
147,1,124,62830000.0,0,131050.00000000001,-2.886,0.0,4.6,2,1994.0,4,1,1,0,0,1,0
148,1,3,7810000000.0,0,1480000.0,-2.733,2.5639999999999996,4.0,1,1932.0,7,1,1,1,0,0,1
149,0,17,3940000000.0,1,1640000.0,0.44200000000000006,0.8439,3.8,2,1987.0,10,0,1,0,0,1,0
150,1,121,2980000000.0,0,358500.0,-0.315,0.0,3.9,5,2009.0,9,0,1,0,0,1,0
151,1,65,37040000000.0,0,2009999.9999999998,0.23399999999999999,-0.13570000000000002,3.5,1,1931.0,3,0,0,1,0,0,1
152,0,117,12110000000.0,1,682750.0,-0.20500000000000002,0.0909,3.8,1,2013.0,5,0,1,1,0,0,1
153,1,17,4840000000.0,1,197720.0,-0.642,-0.151,5.0,6,1996.0,4,1,1,0,0,1,0
154,1,17,3420000000.0,1,1150000.0,-0.138,-0.318,4.6,6,1996.0,4,1,1,0,0,1,0
155,0,26,719830000.0,1,219840.0,-0.055999999999999994,0.47600000000000003,4.4,5,1996.0,4,1,1,0,0,1,0
156,1,33,18080000000.0,0,3890000.0,-0.33799999999999997,-0.0195,4.2,4,1919.0,7,1,1,0,0,0,1
157,1,17,71500000.0,0,653110.0,0.527,-0.212,2.8,6,1996.0,4,0,0,0,0,1,0
158,1,17,20570000000.0,0,518340.00000000006,0.08,0.441,4.4,2,2003.0,4,1,1,0,0,1,0
159,1,27,105060000.0,0,29300.0,-0.263,0.0,3.3,3,1969.0,9,0,0,0,0,1,0
160,1,121,4070000000.0000005,0,301140.0,0.435,0.1384,3.4,1,1858.0,3,0,0,0,0,1,0
161,1,17,107570000.0,1,862260.0,0.493,-0.125,4.0,0,1996.0,8,1,1,0,0,1,0
162,1,13,562770000.0,1,29510.0,0.48600000000000004,-0.1868,4.2,5,1879.0,4,1,1,0,0,1,0
163,1,130,179150000.0,0,289470.0,-1.219,0.0,3.9,5,1998.0,4,1,1,0,0,1,0
164,1,11,4179999999.9999995,0,930610.0,-0.466,0.244,3.6,2,1915.0,5,0,0,0,0,0,1
165,1,17,601170000.0,1,1420000.0,-0.197,0.061,3.0,0,1996.0,11,0,1,0,0,1,0
166,1,13,778180000.0,1,90900.0,-0.016,0.07769999999999999,3.4,3,1913.0,9,0,0,0,0,1,0
167,1,112,438260000.0,0,108060.0,1.0890000000000002,5.349400000000001,3.7,5,1984.0,4,1,1,0,0,0,1
168,1,122,4830000000.0,1,277330.0,-0.36,0.2371,4.2,2,1985.0,4,1,1,0,0,1,0
169,0,11,8300000000.000001,0,412080.0,-0.595,0.2532,3.7,1,1996.0,7,1,1,0,0,0,1
170,1,105,1400000000.0,0,17190.0,-0.302,0.0,4.1,6,1996.0,4,0,1,0,0,0,1
171,1,17,40130000000.0,1,2060000.0,-0.746,0.0535,3.8,2,1992.0,5,0,0,1,0,1,0
172,1,118,120240000000.0,1,10230000.0,0.38200000000000006,0.1219,4.0,1,1967.0,3,1,1,1,0,1,0
173,1,118,3410000000.0,1,440020.0,-0.273,0.3404,4.0,5,2004.0,4,1,1,0,0,1,0
174,1,67,720200000.0,1,305490.0,-1.0150000000000001,-1.156,2.8,3,1991.0,10,0,0,0,0,0,1
175,1,104,12410000000.0,1,1850000.0,-0.031000000000000003,0.2313,3.9,2,2012.0,10,0,1,0,0,0,1
176,1,8,1870000000.0,0,71840.0,0.21100000000000002,0.18359999999999999,3.6,5,1996.0,4,0,0,0,0,0,1
177,1,119,5480000000.0,0,1600000.0,1.7730000000000001,-0.032400000000000005,3.4,1,1968.0,5,0,1,0,0,1,0
178,1,77,4440000000.0,1,303790.0,-0.381,-0.1802,3.8,2,1985.0,0,1,1,0,0,0,1
179,1,13,357730000.0,1,19640.0,0.379,-0.17629999999999998,4.1,3,1909.0,9,1,1,0,0,1,0
180,1,41,500440000.0,1,41700.0,-0.20600000000000002,0.2957,3.5,2,1962.0,4,0,0,0,0,1,0
181,1,8,27300000000.0,0,670330.0,-0.12300000000000001,0.063,3.8,1,1894.0,3,0,1,1,0,0,1
182,1,38,950210000.0,0,176860.0,-0.971,0.3946,2.8,2,1996.0,4,0,0,0,0,1,0
183,1,84,139430000.0,1,597640.0,-9.271,1.95,3.8,3,1996.0,4,0,1,0,0,0,1
184,1,25,383290000.0,1,215840.0,-0.13,1.4469999999999998,4.0,4,1996.0,4,1,1,0,0,0,1
185,1,13,103380000.0,0,35970.0,0.27899999999999997,0.0641,4.0,6,1983.0,2,0,1,0,0,1,0
186,1,44,3010000000.0,1,424580.0,0.18300000000000002,0.18850000000000003,4.1,2,2004.0,10,1,1,0,0,0,1
187,1,22,555440000.0,0,120920.0,2.543,-0.6383,2.6,6,1996.0,7,0,0,0,0,1,0
188,0,17,1930000000.0,1,4190000.0000000005,0.287,1.2309999999999999,4.0,3,1996.0,9,1,1,0,0,1,0
189,1,125,4550000000.0,1,3770000.0,0.29600000000000004,0.9059999999999999,3.8,3,2003.0,4,1,0,0,0,1,0
190,1,38,1580000000.0,1,1050000.0,0.9540000000000001,0.09949999999999999,3.6,4,2002.0,0,0,1,0,0,0,1
191,1,126,406300000.0,0,452100.0,-0.166,0.787,2.4,3,1987.0,9,0,0,0,0,1,0
192,1,67,1140000000.0,0,76690.0,-0.067,-0.0422,3.8,3,1986.0,4,0,1,0,0,1,0
193,1,121,45950000.0,0,1390000.0,-0.059000000000000004,0.5660000000000001,2.6,0,2017.0,4,0,0,0,0,1,0
194,1,121,830830000.0,1,153900.0,-0.039,0.46,3.8,5,1970.0,4,0,0,0,0,1,0
195,1,13,718530000.0,0,80970.0,-1.035,0.052300000000000006,3.8,5,1987.0,4,1,1,0,0,1,0
196,1,17,1620000000.0,0,294050.0,-2.362,-0.047,5.0,0,1996.0,1,1,1,0,0,1,0
197,1,88,439030000.0,1,1870000.0,0.0,0.344,4.4,6,1996.0,4,0,1,0,0,1,0
198,1,52,1380000000.0,0,94190.0,-0.086,0.1886,3.5,1,1980.0,0,0,1,0,0,1,0
199,1,56,3260000000.0,1,4099999.9999999995,-1.405,0.22399999999999998,3.9,3,2007.0,4,0,1,0,0,0,1
200,0,38,420850000.0,0,67590.0,1.07,12.154000000000002,4.6,0,1996.0,4,1,1,0,0,1,0
201,1,9,6930000000.0,1,820380.0,-0.136,-0.0449,3.3,1,1996.0,3,0,0,0,0,0,1
202,1,17,669070000.0,0,254830.0,0.797,-0.258,3.8,6,2005.0,2,1,1,0,0,1,0
203,1,63,4000000000.0,1,55320.0,-0.24600000000000002,0.0,3.0,6,1970.0,8,0,0,0,0,1,0
204,1,50,983390000.0,0,142440.0,-0.58,0.10070000000000001,3.5,2,1947.0,5,0,1,0,0,1,0
205,1,27,28090000000.0,1,427200.0,-0.249,0.1162,4.2,2,2004.0,5,1,1,1,0,0,1
206,1,7,2350000000.0,0,1670000.0,-4.046,-0.0975,3.7,1,1892.0,5,0,1,0,0,0,1
207,1,70,6830000000.0,0,1520000.0,-1.188,0.6920000000000001,3.2,2,1995.0,0,0,0,0,0,1,0
208,1,17,409340000.0,1,81970.0,-0.332,0.142,2.9,0,1996.0,1,0,1,0,0,1,0
209,1,80,974740000.0,1,240600.0,-0.444,0.5532,3.2,2,1988.0,4,0,0,0,0,1,0
210,1,17,593850000.0,1,137590.0,-1.891,10.1111,3.3,6,1992.0,4,0,0,0,0,1,0
211,1,38,424320000.0,0,58610.0,-4.784,0.2302,3.9,6,1996.0,4,1,1,0,0,1,0
212,1,35,125890000.0,1,404100.0,0.23399999999999999,-0.195,5.0,0,1996.0,4,1,1,0,0,1,0
213,1,121,28820000000.0,0,435660.0,-0.05,0.1294,4.2,2,1970.0,0,1,1,1,0,1,0
214,0,0,41370000.0,0,233830.0,1.239,0.0,4.6,6,2015.0,4,1,1,0,0,1,0
215,1,57,90530000000.0,0,1100000.0,-0.026000000000000002,0.1234,3.6,1,2004.0,3,0,0,1,0,0,1
216,0,121,35630000.0,1,5170000.0,0.38200000000000006,0.0,2.6,3,1996.0,9,0,1,0,0,1,0
217,0,68,51780000000.0,0,1770000.0,0.325,0.1164,3.8,1,1892.0,3,0,1,1,0,0,1
218,1,126,10420000000.0,0,1110000.0,-0.044000000000000004,0.11710000000000001,3.7,1,1874.0,5,0,1,1,0,0,1
219,1,119,726360000.0,1,252590.0,-4.524,0.1077,2.5,2,1996.0,4,0,0,0,0,1,0
220,1,72,447080000.0,1,166600.0,-9.104,-0.0681,3.0,3,2020.0,10,0,1,0,0,1,0
221,1,81,112160000.0,1,72080.0,1.576,0.0,3.0,2,1929.0,4,0,0,0,0,0,1
222,1,84,7820000000.0,0,7310000.0,-0.364,-0.2462,3.0,2,2000.0,0,0,0,1,0,1,0
223,1,8,3850000000.0,1,609040.0,0.28500000000000003,0.0787,3.6,3,1995.0,10,0,1,0,0,0,1
224,1,23,64379999999.99999,1,892320.0,0.084,0.189,4.1,1,1940.0,7,1,1,1,0,0,1
225,1,117,49670000.0,1,589280.0,0.657,0.674,3.7,6,1996.0,1,1,1,0,0,1,0
226,1,39,540520000.0,1,152170.0,1.031,0.6388,4.7,2,1991.0,4,1,1,0,0,1,0
227,1,78,238830000.0,1,141290.0,0.22,0.026000000000000002,3.5,0,1996.0,11,0,0,0,0,1,0
228,1,44,4230000000.0000005,1,956630.0,-4.627,0.1482,3.2,4,1926.0,5,0,0,0,0,0,1
229,1,41,39510000000.0,0,2600000.0,0.043,0.1112,3.5,1,1932.0,7,0,0,1,0,0,1
230,0,121,4700000000.0,0,1200000.0,-2.562,0.353,3.9,2,1978.0,4,1,1,0,0,1,0
231,1,100,3470000000.0,0,1850000.0,-2.009,7.0,3.8,2,1996.0,4,0,1,0,0,0,1
232,1,17,4740000000.0,0,794070.0,0.063,0.174,4.0,3,2008.0,4,1,1,0,0,1,0
233,1,8,24710000000.0,0,2350000.0,-0.8640000000000001,0.18539999999999998,3.3,2,1990.0,0,0,1,0,0,0,1
234,1,20,916300000.0,0,186810.0,-0.747,0.2356,3.7,4,1949.0,0,0,1,0,0,1,0
235,1,121,31950000000.0,1,1390000.0,-2.639,1.2348999999999999,4.6,2,2012.0,4,1,1,0,0,1,0
236,1,121,4750000000.0,0,130810.0,3.3480000000000003,1.2984,4.5,2,2006.0,4,1,1,0,0,1,0
237,1,47,1540000000.0,0,1690000.0,0.42200000000000004,0.327,4.3,3,2017.0,4,0,1,0,0,1,0
238,1,122,9140000000.0,0,916910.0,0.374,0.222,4.1,2,1999.0,4,1,1,0,0,1,0
239,1,121,5810000000.0,0,3130000.0,2.58,0.47000000000000003,4.3,3,2011.0,4,1,1,0,0,1,0
240,1,80,975800000.0,0,270190.0,1.953,0.2175,3.0,4,1924.0,5,0,0,0,0,1,0
241,1,71,74210000.0,1,722590.0,0.34500000000000003,0.237,3.3,2,2012.0,4,0,0,0,0,0,1
