,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
16,1,17,171120000.0,0,1590000.0,320.50,10.30,3.7,51 to 200 Employees,2013.0,$100 to $500 million (USD),5.0,5.0,0,NASD
17,0,126,71110000000.0,1,1410000.0,-71.60,30.65,3.9,10000+ Employees,1883.0,$10+ billion (USD),4.1,4.5,0,NYSE
18,1,37,201210000000.0,1,6740000.0,-48.50,10.77,4.0,10000+ Employees,2013.0,$10+ billion (USD),3.95,4.45,1,NYSE
19,1,79,23720000000.0,1,1040000.0,-530.90,16.92,3.6,10000+ Employees,2001.0,$10+ billion (USD),3.4,4.45,1,NYSE
20,1,13,3470000000.0,1,449620.0,37.00,-19.49,3.1,1001 to 5000 Employees,1971.0,$100 to $500 million (USD),2.1,2.45,0,NASD
21,0,17,6030000000.0,1,1370000.0,415.00,-100.00,4.8,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
22,1,17,171120000.0,0,1590000.0,40.00,10.30,3.7,51 to 200 Employees,2013.0,$100 to $500 million (USD),5.0,5.0,0,NASD
23,0,14,58080000000.0,1,21880000.0,320.50,285.63,4.2,10000+ Employees,1999.0,$10+ billion (USD),4.35,3.7,0,NYSE
24,1,9,3030000000.0,1,167120.0,38.00,-1.62,3.7,5001 to 10000 Employees,1995.0,$5 to $10 billion (USD),3.05,3.25,0,NYSE
25,1,17,52200000.0,1,316460.0,320.50,0.00,2.5,1 to 50 Employees,1996.0,$1 to $5 million (USD),5.0,5.0,0,NASD
26,1,124,2950000000.0,0,421690.0,99.80,3.06,3.1,10000+ Employees,1909.0,$5 to $10 billion (USD),2.2,2.55,0,NYSE
27,1,78,14380000000.0,0,269200.0,11.40,19.70,3.5,1001 to 5000 Employees,1981.0,$100 to $500 million (USD),3.25,3.9,1,NASD
28,1,70,91330000000.0,0,7260000.0,320.50,471.95,4.2,5001 to 10000 Employees,2008.0,$100 to $500 million (USD),4.25,4.4,0,NASD
29,1,102,2320000000.0,0,1550000.0,100.20,1.05,3.6,201 to 500 Employees,1993.0,$100 to $500 million (USD),3.4,3.65,0,NYSE
30,1,78,196460000000.0,1,6140000.0,24.50,6.72,3.9,10000+ Employees,1888.0,$10+ billion (USD),3.6,4.6,1,NYSE
31,1,13,778650000.0,1,55380.0,320.50,498.50,4.6,501 to 1000 Employees,2007.0,$5 to $10 billion (USD),4.2,5.0,0,NASD
32,1,17,317070000.0,1,1290000.0,65.40,14.60,3.1,51 to 200 Employees,1996.0,$10 to $25 million (USD),2.35,0.9,0,NASD
33,1,22,824730000.0,0,16800.0,-52.30,0.00,2.2,1 to 50 Employees,1978.0,$1 to $5 million (USD),1.4,2.15,0,NYSE
34,1,62,2660000000.0,0,259550.0,5.90,28.53,3.3,5001 to 10000 Employees,1996.0,$100 to $500 million (USD),2.2,3.3,0,NYSE
35,1,17,4150000000.0000005,0,2060000.0,320.50,373.30,4.5,501 to 1000 Employees,1993.0,$100 to $500 million (USD),4.5,4.4,0,NASD
36,1,104,6600000000.0,1,866710.0,15.00,345.00,3.8,1001 to 5000 Employees,1993.0,$500 million to $1 billion (USD),3.8,4.4,0,NYSE
37,1,56,3070000000.0,1,791280.0,9.10,10.00,3.4,1001 to 5000 Employees,2007.0,$50 to $100 million (USD),2.85,3.8,0,NASD
38,1,21,783110000.0,0,524470.0,40.00,23.11,3.5,5001 to 10000 Employees,1903.0,$1 to $2 billion (USD),3.8,3.75,0,NYSE
39,1,53,1110000000.0,0,246090.0,178.10,25.98,3.7,501 to 1000 Employees,2009.0,$100 to $500 million (USD),3.5,4.15,0,NYSE
40,1,17,40490000.0,1,293530.0,320.50,123.60,5.0,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
41,1,17,339910000.0,0,114980.0,70.30,8.40,3.1,1 to 50 Employees,1996.0,Less than $1 million (USD),2.75,4.0,0,NASD
42,0,63,14880000000.0,0,1620000.0,14.20,28.89,3.7,1001 to 5000 Employees,2000.0,$10+ billion (USD),2.8,4.45,0,NASD
43,0,5,11490000000.0,1,170370.0,320.50,254.30,4.4,10000+ Employees,1996.0,$10+ billion (USD),5.0,5.0,0,NYSE
44,1,77,5470000000.0,0,439540.0,-169.00,14.32,2.9,10000+ Employees,2005.0,$2 to $5 billion (USD),2.3,2.15,0,NASD
45,0,17,471760000.0,1,100150.0,138.20,0.00,3.9,201 to 500 Employees,2016.0,$100 to $500 million (USD),3.3,5.0,0,NASD
