,Unnamed: 0,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index,this_next_EPS,recomend_rating
51,51,1,17,1020000000.0,1,714070,56.2,322.2,4.0,6,2012,1,2.8,5.0,0,1,378.4,6.8
52,52,1,38,162280000.0,1,1910000,320.5,133.3,3.0,0,1996,2,5.0,5.0,0,1,453.8,8.0
53,53,1,59,145750000.0,0,26180,-9.1,12.7,2.4,3,1867,4,1.8,1.6,0,0,3.5999999999999996,4.2
54,54,1,121,3670000000.0,1,911220,46.9,20.3,3.6,2,2014,4,3.25,3.9,0,1,67.2,6.85
55,55,0,17,618240000.0,0,42660,-207.4,-34.8,2.0,6,1996,4,0.0,5.0,0,1,-242.2,2.0
56,56,1,47,34520000000.0,1,2610000,320.5,415.0,4.0,1,1902,3,4.1,4.5,1,2,735.5,8.1
57,57,1,17,224170000.0,0,6960000,-1.0,415.0,2.8,3,1996,4,2.15,2.0,0,1,414.0,4.949999999999999
58,58,1,38,156460000.0,0,8120000,-23.3,440.1,1.0,6,1996,2,0.0,0.0,0,1,416.8,1.0
59,59,1,38,247210000.0,0,352060,46.6,320.7,3.7,6,2000,6,2.9,5.0,0,1,367.3,6.6
60,60,0,11,3730000000.0,0,813880,11.2,305.5,3.5,1,2016,4,3.45,3.85,0,2,316.7,6.95
61,61,1,128,82250000000.0,0,1800000,8.5,334.8,4.0,1,1949,3,3.9,4.65,1,1,343.3,7.9
62,62,1,17,5420000000.0,0,926160,100.5,406.2,3.7,5,2009,4,2.35,3.75,0,1,506.7,6.050000000000001
63,63,1,33,5110000000.0,0,829160,42.2,373.3,3.3,1,1996,7,3.25,4.45,0,2,415.5,6.55
64,64,1,121,61160000000.0,1,1150000,440.1,290.9,4.2,1,1982,5,4.35,4.85,1,1,731.0,8.55
65,65,1,117,8850000000.0,1,3740000,-43.5,439.8,3.2,1,1874,5,2.6,3.2,0,2,396.3,5.800000000000001
66,66,1,26,951170000.0,1,222160,104.4,424.6,3.7,2,1985,10,3.55,3.8,0,1,529.0,7.25
67,67,1,77,1300000000.0,0,92190,14.6,322.9,3.3,1,1972,4,2.9,2.85,0,1,337.5,6.199999999999999
68,68,1,0,3730000000.0,1,432680,50.2,302.0,3.6,1,1987,5,3.4,3.95,0,1,352.2,7.0
69,69,1,17,353570000.0,1,2700000,38.2,325.0,3.9,6,2016,11,4.2,4.4,0,1,363.2,8.1
70,70,1,17,64550000.0,0,9800000,-60.3,319.2,2.2,6,1996,1,0.55,5.0,0,1,258.9,2.75
71,71,1,86,120600000.0,0,15110,843.5,313.6,3.0,5,1973,0,3.3,3.3,0,0,1157.1,6.3
72,72,1,140,21000000000.0,1,1360000,4.5,382.4,4.0,4,1904,7,4.5,4.95,1,2,386.9,8.5
73,73,0,63,8800000000.0,0,1890000,78.2,324.5,3.6,1,1844,3,3.45,3.55,0,2,402.7,7.050000000000001
74,74,1,118,56530000.0,0,366130,47.6,330.2,4.4,6,1996,2,5.0,5.0,0,1,377.8,9.4
75,75,1,40,3930000000.0,0,285250,139.0,362.2,3.7,2,1981,10,3.0,5.0,0,1,501.2,6.7
76,76,1,64,2910000000.0,1,537270,157.5,369.9,3.4,5,1995,5,3.15,5.0,0,2,527.4,6.55
77,77,0,54,15500000000.0,1,1260000,6.0,292.6,4.0,4,1957,0,3.65,4.35,0,2,298.6,7.65
78,78,1,7,5390000000.0,1,3910000,178.1,344.6,3.7,1,1977,5,3.4,4.05,0,2,522.7,7.1
79,79,1,140,41140000000.0,1,2880000,11.6,308.9,3.9,1,1906,3,3.9,4.65,1,1,320.5,7.8
80,80,0,4,6970000000.0,0,1120000,178.1,316.0,3.0,6,1996,5,1.75,2.25,0,2,494.1,4.75
81,81,1,38,779270000.0,0,481050,9.2,440.0,3.3,0,1996,2,2.5,5.0,0,1,449.2,5.8
82,82,1,138,16430000000.0,0,5570000,178.1,317.7,4.4,4,1981,3,4.75,4.9,1,2,495.79999999999995,9.15
